,id,title,release_date,vote_average,vote_count,popularity
405,455714,Bad Genius,2017-05-03,7.9,703,14.173
406,10728,Faust,1926-10-13,7.9,290,7.69
407,603692,John Wick: Chapter 4,2023-03-22,7.9,2828,3911.607
408,142061,"Batman: The Dark Knight Returns, Part 2",2013-01-03,7.9,1292,24.43
409,152532,Dallas Buyers Club,2013-11-01,7.9,7858,16.712
410,9323,Ghost in the Shell,1995-11-18,7.9,2883,28.486
411,329,Jurassic Park,1993-06-11,7.9,14781,27.565
412,610150,Dragon Ball Super: Super Hero,2022-06-11,7.9,2424,93.306
413,10242,What Ever Happened to Baby Jane?,1962-10-12,7.9,913,11.785
414,6977,No Country for Old Men,2007-06-13,7.9,10683,35.115
415,81,Nausicaä of the Valley of the Wind,1984-03-11,7.9,3074,29.413
416,613868,Cousins,2019-12-10,7.9,254,10.081
417,20722,La Maison en Petits Cubes,2008-06-10,7.9,398,8.114
418,78,Blade Runner,1982-06-25,7.9,12465,51.939
419,721656,"Happy Halloween, Scooby-Doo!",2020-10-06,7.9,207,22.296
420,552532,Charm City Kings,2020-01-27,7.9,381,20.709
421,522212,Just Mercy,2019-12-25,7.9,1955,18.554
422,37797,Whisper of the Heart,1995-07-15,7.9,1672,31.412
423,197,Braveheart,1995-05-24,7.9,9141,38.585
424,632322,All My Life,2020-10-23,7.9,419,14.017
425,505262,My Hero Academia: Two Heroes,2018-08-03,7.9,889,34.519
426,746957,You've Got This,2020-10-02,7.9,273,11.488
427,10386,The Iron Giant,1999-08-06,7.9,4964,36.147
428,829,Chinatown,1974-06-20,7.9,3326,26.736
429,679,Aliens,1986-07-18,7.9,8510,47.409
430,570503,Tune in for Love,2019-08-28,7.9,221,15.547
431,85,Raiders of the Lost Ark,1981-06-12,7.9,11029,55.804
